round_idx,task,phase,round,train_loss,test_loss,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr
1,1,1,1,0.3134,0.3691,96.6594,96.6594,63.3238,95.7276,96.6594,50.1021,96.6594,96.6594,48.9592,95.1506,1.0213
2,1,1,2,0.4397,0.143,96.6547,96.6547,55.7803,94.7419,96.6547,49.9291,96.6547,96.6547,48.6306,95.1107,1.0303
3,1,1,3,0.6425,0.1298,96.655,96.655,47.4484,93.6662,96.655,49.9242,96.655,96.655,48.6235,95.1101,1.0306
4,1,1,4,0.7991,0.1547,96.7464,96.7464,47.4733,93.7509,96.7464,49.9723,96.7464,96.7464,48.6603,95.1998,0.9969
5,1,1,5,0.902,0.1722,96.7492,96.7492,64.1662,94.7604,96.7492,50.2714,96.7492,96.7492,49.2741,95.229,0.9995
6,1,1,6,0.9192,0.1589,96.7916,96.7916,64.1998,94.7974,96.7916,50.5752,96.7916,96.7916,49.8508,95.2946,0.987
7,1,1,7,0.9198,0.1654,96.8957,96.8957,64.3881,94.8787,96.8957,52.5425,96.8957,96.8957,53.2568,95.5329,0.9711
8,1,1,8,0.9251,0.1626,96.7896,96.7896,64.196,94.7959,96.7896,50.5438,96.7896,96.7896,49.7897,95.2901,0.9872
9,1,1,9,0.9204,0.1647,96.7584,96.7584,47.4743,93.7619,96.7584,49.9793,96.7584,96.7584,48.6642,95.2116,0.9919
10,1,1,10,0.9282,0.2245,96.7554,96.7554,62.2887,94.6568,96.7554,49.9844,96.7554,96.7554,48.6765,95.2093,0.9932
11,1,1,11,0.898,0.1904,96.7575,96.7575,64.1416,94.7707,96.7575,49.9794,96.7575,96.7575,48.6652,95.2107,0.9924
12,1,1,12,0.8658,0.1723,96.7669,96.7669,80.7197,96.9233,96.7669,50.1238,96.7669,96.7669,48.9579,95.2334,0.9901
13,1,1,13,0.8432,0.2008,96.7611,96.7611,80.4008,96.8995,96.7611,50.0789,96.7611,96.7611,48.8682,95.2235,0.9918
14,1,1,14,0.842,0.2299,96.7547,96.7547,65.4231,95.9882,96.7547,49.9833,96.7547,96.7547,48.6755,95.2095,0.9933
15,1,1,15,0.8153,0.215,96.761,96.761,65.0183,95.9684,96.761,49.9994,96.761,96.761,48.704,95.218,0.9903
16,1,1,16,0.8033,0.2262,96.9275,96.9275,81.0618,97.0571,96.9275,52.7379,96.9275,96.9275,53.558,95.5779,0.9599
17,1,1,17,0.7818,0.2217,96.9089,96.9089,81.018,97.0369,96.9089,52.4178,96.9089,96.9089,53.0537,95.5399,0.9544
18,1,1,18,0.7654,0.2968,96.7843,96.7843,80.6369,96.9141,96.7843,50.2967,96.7843,96.7843,49.2722,95.269,0.9467
19,1,1,19,0.7695,0.2133,96.7913,96.7913,80.793,96.9381,96.7913,50.4678,96.7913,96.7913,49.6279,95.2876,0.9697
20,1,1,20,0.7943,0.2047,96.9761,96.9761,81.0831,97.079,96.9761,53.4992,96.9761,96.9761,54.6737,95.6671,0.9156
21,1,1,21,0.7508,0.2002,96.7669,96.7669,80.3464,96.8825,96.7669,50.0538,96.7669,96.7669,48.7727,95.2261,0.9394
22,1,1,22,0.7431,0.2674,96.7722,96.7722,80.6671,96.9009,96.7722,50.1278,96.7722,96.7722,48.9192,95.2374,0.9339
23,1,1,23,0.7645,0.2193,96.7674,96.7674,64.0448,95.8946,96.7674,50.0451,96.7674,96.7674,48.7476,95.2262,0.9322
24,1,1,24,0.7908,0.2125,96.7625,96.7625,64.0799,95.8968,96.7625,50.0067,96.7625,96.7625,48.6886,95.2157,0.9547
25,1,1,25,0.7942,0.2069,96.7709,96.7709,64.0577,95.8993,96.7709,50.0659,96.7709,96.7709,48.795,95.2339,0.937
26,1,1,26,0.8029,0.1733,96.7832,96.7832,64.0331,95.9074,96.7832,50.1607,96.7832,96.7832,48.9774,95.2636,0.9274
27,1,1,27,0.7564,0.169,98.1564,98.1564,81.1918,98.2334,98.1564,61.3374,98.1564,98.1564,63.5782,97.6537,0.4258
28,1,1,28,0.7997,0.1749,96.8786,96.8786,80.7336,97.0072,96.8786,50.8927,96.8786,96.8786,50.3614,95.4871,0.8888
29,1,1,29,0.8004,0.2319,96.7731,96.7731,80.6426,96.8996,96.7731,50.0756,96.7731,96.7731,48.806,95.2368,0.9296
30,1,1,30,0.8172,0.2019,96.7794,96.7794,64.0367,95.9039,96.7794,50.1261,96.7794,96.7794,48.9004,95.2526,0.9203
31,2,2,1,1.5551,2.7013,68.9751,68.9751,25.1342,56.6461,68.9751,35.729,68.9751,68.9751,26.04,60.7834,3.1119
32,2,2,2,1.7146,2.595,70.8838,70.8838,31.8907,59.5616,70.8838,40.1604,70.8838,70.8838,28.8718,63.138,2.8725
33,2,2,3,1.9934,2.9187,37.2719,37.2719,27.8415,49.1167,37.2719,32.4151,37.2719,37.2719,16.4466,21.6025,6.1833
34,2,2,4,2.209,3.9816,36.4966,36.4966,19.5145,15.1044,36.4966,29.8101,36.4966,36.4966,14.8321,20.8845,6.2602
35,2,2,5,2.3142,3.9014,35.8424,35.8424,18.019,14.6612,35.8424,27.2462,35.8424,35.8424,12.8169,20.2989,6.3253
36,2,2,6,2.3668,3.5174,35.9011,35.9011,18.1904,19.7558,35.9011,27.4776,35.9011,35.9011,13.0173,20.3574,6.3197
37,2,2,7,2.3682,3.1383,36.5288,36.5288,11.2382,14.9845,36.5288,29.8989,36.5288,36.5288,14.9126,20.908,6.2575
38,2,2,8,2.3569,2.8645,36.6522,36.6522,12.6935,20.1816,36.6522,30.3711,36.6522,36.6522,15.2284,21.0028,6.2449
39,2,2,9,2.3496,2.6609,36.8214,36.8214,12.4727,18.2947,36.8214,31.0129,36.8214,36.8214,15.6476,21.1526,6.2273
40,2,2,10,2.3337,2.497,70.6546,70.6546,30.2618,62.1539,70.6546,39.9085,70.6546,70.6546,28.4781,62.9027,2.8848
41,2,2,11,2.3248,2.3804,37.0515,37.0515,17.9135,27.2725,37.0515,31.8675,37.0515,37.0515,20.3919,29.2458,5.8375
42,2,2,12,2.3188,2.2884,71.0972,71.0972,30.7,62.6008,71.0972,40.6489,71.0972,71.0972,29.0196,63.3366,2.8431
43,2,2,13,2.3051,2.1882,37.1723,37.1723,24.8812,27.579,37.1723,32.3518,37.1723,37.1723,20.7729,29.4488,5.8268
44,2,2,14,2.2902,2.115,71.1341,71.1341,38.4553,63.7984,71.1341,40.8412,71.1341,71.1341,29.1903,63.3464,2.8453
45,2,2,15,2.28,2.0489,37.1073,37.1073,23.2574,26.594,37.1073,31.7451,37.1073,37.1073,20.7463,29.485,5.8435
46,2,2,16,2.268,1.9783,70.9831,70.9831,46.5339,84.6915,70.9831,40.2458,70.9831,70.9831,28.9903,63.1626,2.8732
47,2,2,17,2.2598,1.9277,36.7371,36.7371,24.5367,26.1559,36.7371,28.7937,36.7371,36.7371,20.1222,29.3489,5.9164
48,2,2,18,2.2481,1.8793,70.3282,70.3282,48.9687,78.7846,70.3282,37.0179,70.3282,70.3282,27.5606,62.3496,2.9721
49,2,2,19,2.2424,1.8371,35.172,35.172,22.3182,25.1986,35.172,21.2917,35.172,35.172,15.6029,28.1951,6.1338
50,2,2,20,2.2357,1.7955,68.9225,68.9225,43.9084,77.0252,68.9225,31.1758,68.9225,68.9225,22.8566,60.3156,3.1699
51,2,2,21,2.2306,1.7559,34.8396,34.8396,21.6957,24.9246,34.8396,18.0786,34.8396,34.8396,14.9299,27.9837,6.2573
52,2,2,22,2.2254,1.7213,68.8112,68.8112,44.6918,77.7971,68.8112,30.3316,68.8112,68.8112,22.6519,60.0919,3.1995
53,2,2,23,2.2182,1.6854,34.7711,34.7711,23.0177,25.0162,34.7711,16.92,34.7711,34.7711,14.1684,27.9519,6.2859
54,2,2,24,2.2115,1.6611,68.7779,68.7779,46.4217,79.938,68.7779,30.2628,68.7779,68.7779,21.8688,60.0345,3.2039
55,2,2,25,2.2105,1.6398,34.7486,34.7486,14.8311,24.9108,34.7486,16.6485,34.7486,34.7486,13.6999,27.9338,6.3013
56,2,2,26,2.2024,1.6144,68.9761,68.9761,37.9782,72.5419,68.9761,31.1286,68.9761,68.9761,23.7749,60.0611,3.2173
57,2,2,27,2.2035,1.5962,36.0719,36.0719,16.3206,25.9432,36.0719,26.5785,36.0719,36.0719,14.7332,28.107,5.9741
58,2,2,28,2.1993,1.5737,70.0504,70.0504,27.675,57.9819,70.0504,34.7751,70.0504,70.0504,29.5026,62.1531,3.1291
59,2,2,29,2.1915,1.5606,70.0269,70.0269,24.4981,59.1845,70.0269,34.7991,70.0269,70.0269,26.8722,62.6005,3.0521
60,2,2,30,2.1957,1.5382,70.0239,70.0239,24.4745,59.1968,70.0239,34.7973,70.0239,70.0239,26.8667,62.605,3.0521
61,2,3,1,2.0985,1.8812,73.909,73.909,26.7124,59.7114,73.909,33.2833,73.909,73.909,29.1109,64.8819,2.7564
62,2,3,2,2.0773,1.963,73.9522,73.9522,27.137,60.599,73.9522,33.4064,73.9522,73.9522,29.3835,65.38,2.7119
63,2,3,3,2.0501,1.9867,75.456,75.456,32.3147,63.2424,75.456,39.2637,75.456,75.456,34.9022,67.488,2.5195
64,2,3,4,2.0252,1.9844,75.6452,75.6452,32.601,63.4952,75.6452,40.1405,75.6452,75.6452,35.4248,67.6975,2.4943
65,2,3,5,2.0027,1.9686,75.6903,75.6903,32.6838,63.5555,75.6903,40.3978,75.6903,75.6903,35.5727,67.7459,2.4884
66,2,3,6,1.9807,1.9454,75.721,75.721,32.7372,63.5982,75.721,40.5169,75.721,75.721,35.6486,67.78,2.4849
67,2,3,7,1.9544,1.917,75.7468,75.7468,32.7637,63.6336,75.7468,40.5758,75.7468,75.7468,35.6855,67.8087,2.4818
68,2,3,8,1.9384,1.8857,75.7651,75.7651,32.7784,63.6579,75.7651,40.5842,75.7651,75.7651,35.6965,67.8293,2.4799
69,2,3,9,1.9161,1.8527,75.7763,75.7763,32.7827,63.6704,75.7763,40.5745,75.7763,75.7763,35.6948,67.8412,2.4789
70,2,3,10,1.8994,1.8192,75.7879,75.7879,32.7845,63.682,75.7879,40.5729,75.7879,75.7879,35.6948,67.8528,2.4777
71,2,3,11,1.8791,1.7851,75.7934,75.7934,32.7815,63.6862,75.7934,40.5646,75.7934,75.7934,35.6895,67.8578,2.4773
72,2,3,12,1.8601,1.7518,75.7877,75.7877,32.7748,63.6794,75.7877,40.5409,75.7877,75.7877,35.676,67.852,2.4782
73,2,3,13,1.8459,1.7179,75.7852,75.7852,32.7656,63.6765,75.7852,40.5304,75.7852,75.7852,35.666,67.8493,2.4785
74,2,3,14,1.8292,1.6851,75.7743,75.7743,32.7508,63.6605,75.7743,40.4883,75.7743,75.7743,35.6415,67.837,2.48
75,2,3,15,1.8161,1.6542,75.7684,75.7684,32.7383,63.6541,75.7684,40.4691,75.7684,75.7684,35.6264,67.8311,2.4806
76,2,3,16,1.8017,1.6228,75.7574,75.7574,32.7223,63.6396,75.7574,40.4311,75.7574,75.7574,35.6025,67.8192,2.482
77,2,3,17,1.7879,1.592,75.7487,75.7487,32.7056,63.6291,75.7487,40.4043,75.7487,75.7487,35.5819,67.8101,2.483
78,2,3,18,1.7744,1.5617,75.744,75.744,32.6933,63.6231,75.744,40.3977,75.744,75.744,35.5715,67.8048,2.4835
79,2,3,19,1.7607,1.5341,75.7341,75.7341,32.679,63.61,75.7341,40.371,75.7341,75.7341,35.5526,67.794,2.4847
80,2,3,20,1.7492,1.5068,75.7209,75.7209,32.6622,63.5913,75.7209,40.3318,75.7209,75.7209,35.5279,67.779,2.4864
81,2,3,21,1.7361,1.4802,75.7121,75.7121,32.6448,63.5792,75.7121,40.3091,75.7121,75.7121,35.5086,67.7691,2.4875
82,2,3,22,1.7301,1.4531,75.7014,75.7014,32.6247,63.5653,75.7014,40.2799,75.7014,75.7014,35.4852,67.7574,2.4887
83,2,3,23,1.7202,1.4292,75.6898,75.6898,32.6047,63.5509,75.6898,40.2495,75.6898,75.6898,35.4612,67.745,2.49
84,2,3,24,1.7066,1.4053,75.6703,75.6703,32.584,63.5251,75.6703,40.1873,75.6703,75.6703,35.4253,67.7238,2.4926
85,2,3,25,1.6993,1.3833,75.6604,75.6604,32.5666,63.5133,75.6604,40.1652,75.6604,75.6604,35.406,67.7133,2.4937
86,2,3,26,1.6899,1.3605,75.636,75.636,32.5427,63.4827,75.636,40.0884,75.636,75.636,35.3624,67.6874,2.497
87,2,3,27,1.6821,1.3386,75.6277,75.6277,32.5233,63.4721,75.6277,40.0678,75.6277,75.6277,35.3425,67.6783,2.4978
88,2,3,28,1.6771,1.3176,75.6043,75.6043,32.4956,63.4441,75.6043,39.9945,75.6043,75.6043,35.2976,67.6538,2.5008
89,2,3,29,1.6683,1.2983,75.5857,75.5857,32.4705,63.4219,75.5857,39.9422,75.5857,75.5857,35.2621,67.6343,2.503
90,2,3,30,1.6652,1.2786,75.584,75.584,32.4584,63.4234,75.584,39.9565,75.584,75.584,35.2595,67.6335,2.5028
91,3,2,1,1.2088,3.4825,35.3605,35.3605,18.4395,35.8176,35.3605,31.9922,35.3605,35.3605,14.7675,27.7169,3.7785
92,3,2,2,1.2402,3.2313,35.2849,35.2849,20.5544,28.3441,35.2849,29.7188,35.2849,35.2849,13.2082,22.1574,3.928
93,3,2,3,1.3169,3.2965,35.3427,35.3427,10.158,17.7461,35.3427,28.7413,35.3427,35.3427,13.4436,21.9667,3.93
94,3,2,4,1.3579,3.3111,35.4357,35.4357,10.3343,17.3395,35.4357,28.3726,35.4357,35.4357,13.6385,21.7776,3.927
95,3,2,5,1.3696,3.2264,35.6143,35.6143,10.2065,16.8241,35.6143,28.2928,35.6143,35.6143,13.5565,21.5798,3.9144
96,3,2,6,1.3678,3.121,36.6371,36.6371,14.9243,15.6413,36.6371,32.2288,36.6371,36.6371,17.758,21.2275,3.8746
97,3,2,7,1.3608,2.9943,35.8148,35.8148,15.2817,16.1616,35.8148,28.5483,35.8148,35.8148,13.7483,20.3527,3.9272
98,3,2,8,1.3538,2.8738,37.0523,37.0523,15.115,15.6655,37.0523,33.6812,37.0523,37.0523,18.7134,21.4887,3.8503
99,3,2,9,1.3448,2.7698,35.7316,35.7316,9.7418,14.3531,35.7316,28.2481,35.7316,35.7316,13.2648,20.2004,3.9348
100,3,2,10,1.3383,2.6614,35.7275,35.7275,13.4288,22.1737,35.7275,28.2062,35.7275,35.7275,15.862,25.9132,3.9337
101,3,2,11,1.3314,2.5635,35.7228,35.7228,13.7335,22.1936,35.7228,28.0789,35.7228,35.7228,15.8296,25.9262,3.9345
102,3,2,12,1.3253,2.4857,35.7108,35.7108,14.0105,22.2413,35.7108,27.882,35.7108,35.7108,15.8143,25.9729,3.9366
103,3,2,13,1.3204,2.4149,35.6676,35.6676,14.3277,22.2992,35.6676,27.4331,35.6676,35.6676,15.5674,26.0164,3.9417
104,3,2,14,1.3142,2.3626,35.5208,35.5208,14.2113,22.3223,35.5208,26.6942,35.5208,35.5208,15.24,25.9787,3.9535
105,3,2,15,1.3104,2.3192,35.4165,35.4165,13.6918,22.3487,35.4165,25.4548,35.4165,35.4165,15.0845,25.9844,3.9688
106,3,2,16,1.3098,2.2955,35.3534,35.3534,13.1932,22.4135,35.3534,24.2925,35.3534,35.3534,15.0744,26.0472,3.9837
107,3,2,17,1.3052,2.2767,35.2891,35.2891,13.2387,22.544,35.2891,23.0256,35.2891,35.2891,15.4394,26.201,4.0058
108,3,2,18,1.3003,2.2716,35.2608,35.2608,13.6375,22.6017,35.2608,22.1261,35.2608,35.2608,15.0887,26.2135,4.011
109,3,2,19,1.2985,2.2739,35.0908,35.0908,15.8412,22.6785,35.0908,21.8278,35.0908,35.0908,14.7284,26.137,4.0224
110,3,2,20,1.2932,2.2816,34.8003,34.8003,13.6736,22.7425,34.8003,21.6226,34.8003,34.8003,14.5782,26.036,4.0413
111,3,2,21,1.291,2.2954,34.0816,34.0816,12.1413,22.7832,34.0816,21.2741,34.0816,34.0816,14.4221,25.6836,4.0873
